timestamp,sport,game_title,outcome,price,market_id
2026-05-03 19:19:06+00:00,Soccer,Manchester City FC vs. Brentford FC,Yes,0.735,2082169
2026-05-03 19:19:06+00:00,Soccer,Manchester City FC vs. Brentford FC,No,0.845,2082174
2026-05-03 19:19:06+00:00,Soccer,Manchester City FC vs. Brentford FC,Yes,0.155,2082174
2026-05-03 19:19:06+00:00,Soccer,Manchester City FC vs. Brentford FC,No,0.885,2082178
2026-05-03 19:19:06+00:00,Soccer,Manchester City FC vs. Brentford FC,Yes,0.115,2082178
2026-05-03 19:18:04+00:00,Soccer,Manchester City FC vs. Crystal Palace FC,No,0.28,1530214
2026-05-03 19:18:05+00:00,Soccer,Manchester City FC vs. Crystal Palace FC,Yes,0.72,1530214
2026-05-03 19:18:04+00:00,Soccer,Manchester City FC vs. Crystal Palace FC,No,0.8305,1530219
2026-05-03 19:18:04+00:00,Soccer,Manchester City FC vs. Crystal Palace FC,Yes,0.1695,1530219
2026-05-03 19:18:04+00:00,Soccer,Manchester City FC vs. Crystal Palace FC,No,0.8975,1530224
2026-05-03 19:18:04+00:00,Soccer,Manchester City FC vs. Crystal Palace FC,Yes,0.1025,1530224
2026-05-03 19:19:06+00:00,Soccer,Nottingham Forest FC vs. Newcastle United FC,No,0.615,2091230
2026-05-03 19:19:06+00:00,Soccer,Nottingham Forest FC vs. Newcastle United FC,Yes,0.385,2091230
2026-05-03 19:19:06+00:00,Soccer,Nottingham Forest FC vs. Newcastle United FC,No,0.725,2091234
2026-05-03 19:19:06+00:00,Soccer,Nottingham Forest FC vs. Newcastle United FC,Yes,0.275,2091234
2026-05-03 19:19:06+00:00,Soccer,Nottingham Forest FC vs. Newcastle United FC,No,0.66,2091239
2026-05-03 19:19:06+00:00,Soccer,Nottingham Forest FC vs. Newcastle United FC,Yes,0.34,2091239
2026-05-03 19:19:06+00:00,Soccer,RCD Espanyol de Barcelona vs. Real Madrid CF,No,0.785,2030771
2026-05-03 19:19:06+00:00,Soccer,RCD Espanyol de Barcelona vs. Real Madrid CF,Yes,0.215,2030771
2026-05-03 19:19:06+00:00,Soccer,RCD Espanyol de Barcelona vs. Real Madrid CF,No,0.735,2030773
2026-05-03 19:19:06+00:00,Soccer,RCD Espanyol de Barcelona vs. Real Madrid CF,Yes,0.265,2030773
2026-05-03 19:19:06+00:00,Soccer,RCD Espanyol de Barcelona vs. Real Madrid CF,No,0.465,2030774
2026-05-03 19:19:06+00:00,Soccer,RCD Espanyol de Barcelona vs. Real Madrid CF,Yes,0.535,2030774
2026-05-03 19:19:06+00:00,Soccer,Real Betis Balompié vs. Real Oviedo,No,0.0005,2030758
2026-05-03 19:19:06+00:00,Soccer,Real Betis Balompié vs. Real Oviedo,Yes,0.9995,2030758
2026-05-03 19:19:06+00:00,Soccer,Real Betis Balompié vs. Real Oviedo,No,0.9995,2030761
2026-05-03 19:19:06+00:00,Soccer,Real Betis Balompié vs. Real Oviedo,Yes,0.0005,2030761
2026-05-03 19:19:06+00:00,Soccer,Real Betis Balompié vs. Real Oviedo,No,0.9995,2030764
2026-05-03 19:19:06+00:00,Soccer,Real Betis Balompié vs. Real Oviedo,Yes,0.0005,2030764
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. RCD Espanyol de Barcelona,No,0.535,2083579
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. RCD Espanyol de Barcelona,Yes,0.465,2083579
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. RCD Espanyol de Barcelona,No,0.725,2083580
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. RCD Espanyol de Barcelona,Yes,0.275,2083580
2026-05-03 19:19:06+00:00,Soccer,Sevilla FC vs. RCD Espanyol de Barcelona,No,0.735,2083583
