market_id,classifier_label,tag_id,tag_slug,feat_jump_zcount_ge_2,feat_jump_zrate_ge_2,feat_jump_zcount_ge_3,feat_jump_zrate_ge_3,feat_jump_count_ge_p95,feat_jump_rate_ge_p95,feat_jump_count_ge_p99,feat_jump_rate_ge_p99,feat_jump_max_abs,feat_jump_top3_sum_abs,feat_jump_top3_frac_total_move,feat_return_volatility,feat_time_to_close_hours,feat_raw_prints_per_hour,feat_ob_spread,feat_ob_spread_over_mid,feat_ob_imbalance_topn,feat_ob_mid,feat_ob_log_bid_ask_depth_ratio
558960,Sports,1,sports,-1.1438801919607824,-1.14578635425263,-1.1389846558088925,-1.1354724204960536,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.48804846645365474,-0.5997563618242137,0.09470085007182749,0.14805556993047436,0.14805556993047436,1.496748260636352,0.09166984970282081,1.1672089205387846
558978,Sports,1,sports,-1.008040881683401,-1.0134438983216008,-0.9423254346620334,-0.9452184998937898,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.5159782261443913,1.5939290330277178,-0.48488274998412595,-0.5997563618242137,0.649047289516671,0.14805556993047436,0.14805556993047436,0.6828357896580863,0.09166984970282081,0.5197271448416362
558943,Sports,1,sports,-0.6005229508512568,-0.6052247794984046,-0.35234777122145605,-0.35836761160900577,0.753467440955316,0.7745544937553648,-0.684039009926683,-0.6844354724185034,-0.44050787414862624,-0.5029436727761839,0.5463307221937266,-0.4739313003911575,-0.5997563618242137,0.3718740697942502,0.14805556993047436,0.14805556993047436,-0.9389886948491222,0.09166984970282081,-0.7882595717114497
558957,Sports,1,sports,-1.1438801919607824,-1.1435480040466086,-1.1389846558088925,-1.1322545952004552,0.753467440955316,0.7745544937553648,1.454023090948927,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.487984468878758,-0.5997563618242137,0.3718740697942502,0.14805556993047436,0.14805556993047436,0.9918384380195167,0.09166984970282081,0.7276646241984608
553866,Sports,1,sports,0.6220308416451757,0.5746655728507513,0.8276075556596989,0.7670667855265845,-1.2992569104234803,-1.3046240343805615,-0.684039009926683,-0.6848181124165857,-0.0745013317232069,-0.02066519815251223,-0.6185508909916999,-0.04930668495733879,-0.668615255652192,0.09470085007182749,0.14805556993047436,0.14805556993047436,-1.020474221383412,0.09166984970282081,-0.9434952588158316
558964,Sports,1,sports,-1.2797195022381638,-1.2781288101836594,-1.3356438769557517,-1.3257263410983176,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.46450830316012914,-0.5290127795125986,-1.5488658994742586,-0.4956641113496826,-0.5997563618242137,0.649047289516671,0.14805556993047436,0.14805556993047436,1.3582417186667726,0.09166984970282081,1.0249202915549318
558972,Sports,1,sports,-1.2797195022381638,-1.2781288101836594,-1.3356438769557517,-1.3257263410983176,0.6389180909899814,0.7745544937553648,1.339810371885059,1.4689476447892442,-0.46450830316012914,-0.5290127795125986,-1.5488658994742586,-0.4956641113496826,-0.5997563618242137,-0.4596455893730161,0.14805556993047436,0.14805556993047436,0.8168476077261988,0.09166984970282081,0.6071463946544252
566146,Sports,1,sports,-0.4646836405738754,-0.4840740745974834,-0.5490069923683152,-0.5647106586892622,-1.2396912484415064,-1.2453492079205462,-0.684039009926683,-0.6848181124165857,-0.1645029405163427,-0.16078664686074107,0.17509442757779808,-0.213236886754787,-0.7809639771609987,0.09470085007182749,0.14805556993047436,0.14805556993047436,-0.6721342646393214,0.09166984970282081,-0.4411530682274706
558962,Sports,1,sports,-1.1438801919607824,-1.14578635425263,-1.1389846558088925,-1.1354724204960536,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.48804846645365474,-0.5997563618242137,0.09470085007182749,0.14805556993047436,0.14805556993047436,1.3059313941326935,0.09166984970282081,0.9768081061927807
558936,Sports,1,sports,0.6220308416451757,0.7111437305296252,1.024266776806558,1.1254915823754919,-1.2992569104234803,-1.2962274458109337,-0.684039009926683,-0.6831516426258306,-0.3985071233784961,-0.43125362925104344,-0.6422904381756116,-0.40204271943846615,-0.5997563618242137,-0.736818809095437,0.14805556993047436,0.14805556993047436,-0.6837361325188759,0.09166984970282081,-0.45330462137892286
558971,Sports,1,sports,-1.1438801919607824,-1.14578635425263,-1.1389846558088925,-1.1354724204960536,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.48804846645365474,-0.5997563618242137,0.649047289516671,0.14805556993047436,0.14805556993047436,0.7703467185453255,0.09166984970282081,0.5764343858022412
558959,Sports,1,sports,-0.8722015714060196,-0.8811014423905714,-0.7456662135151744,-0.754964579291526,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.5094609494602876,1.5939290330277178,-0.48246427043862944,-0.5997563618242137,0.09470085007182749,0.14805556993047436,0.14805556993047436,-0.9334332013659328,0.09166984970282081,-0.7789384065591728
558961,Sports,1,sports,-1.008040881683401,-1.0134438983216008,-0.9423254346620334,-0.9452184998937898,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.5159782261443913,1.5939290330277178,-0.48488274998412595,-0.5997563618242137,-0.18247236965059335,0.14805556993047436,0.14805556993047436,0.6585668016878967,0.09166984970282081,0.5042113038973111
558968,Sports,1,sports,-1.1438801919607824,-1.136037914418425,-1.1389846558088925,-1.1214581808088333,0.6389180909899814,0.7745544937553648,1.339810371885059,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.4877735683526858,-0.5997563618242137,-0.736818809095437,0.14805556993047436,0.14805556993047436,1.0415975627521996,0.09166984970282081,0.763766062002333
558958,Sports,1,sports,-1.008040881683401,-1.0089671979095576,-0.9423254346620334,-0.9387828493025927,0.753467440955316,0.7745544937553648,1.454023090948927,1.4689476447892442,-0.4525080886543777,-0.5159782261443913,1.5939290330277178,-0.48479195796973806,-0.5997563618242137,0.3718740697942502,0.14805556993047436,0.14805556993047436,0.5519137398957464,0.09166984970282081,0.4368370818200076
558970,Sports,1,sports,-1.008040881683401,-1.0134438983216008,-0.9423254346620334,-0.9452184998937898,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.5159782261443913,1.5939290330277178,-0.48488274998412595,-0.5997563618242137,0.09470085007182749,0.14805556993047436,0.14805556993047436,1.386026482699657,0.09166984970282081,1.0515777326376252
558952,Sports,1,sports,-1.1438801919607824,-1.136037914418425,-1.1389846558088925,-1.1214581808088333,0.6389180909899814,0.7745544937553648,1.339810371885059,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.4877735683526858,-0.5997563618242137,-0.18247236965059335,0.14805556993047436,0.14805556993047436,-0.0012463937580068291,0.09166984970282081,0.0889602905466074
553863,Sports,1,sports,1.9804239444189897,1.8980901321610446,1.4175852191002762,1.337828547333376,-1.2992569104234803,-1.3046240343805615,-0.684039009926683,-0.6848181124165857,-0.3025054073324845,-0.3041667339110219,-0.9826704677702471,-0.23867264910240227,-0.668615255652192,0.3718740697942502,0.14805556993047436,0.14805556993047436,-0.9757622121145677,0.09166984970282081,-0.8536213158966632
558954,Sports,1,sports,-1.1438801919607824,-1.14578635425263,-1.1389846558088925,-1.1354724204960536,0.7901232329442232,0.7745544937553648,1.4905711610493648,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.48804846645365474,-0.5997563618242137,0.649047289516671,0.14805556993047436,0.14805556993047436,1.1821661525808078,0.09166984970282081,0.8718049922826465
558969,Sports,1,sports,-1.1438801919607824,-1.1435480040466086,-1.1389846558088925,-1.1322545952004552,0.753467440955316,0.7745544937553648,1.454023090948927,1.4689476447892442,-0.4525080886543777,-0.522495502828495,1.5939290330277178,-0.487984468878758,-0.5997563618242137,0.3718740697942502,0.14805556993047436,0.14805556993047436,1.0499146193301927,0.09166984970282081,0.7698969735445836
