id,question,category,volumeNum,liquidityNum,startDate,endDate,clobTokenIds,sport_bucket
1906996,DeMar DeRozan: Points O/U 3.5,NBA,3998.7655539999996,,2026-04-07T13:13:22.963906Z,2026-04-08T02:00:00Z,"[""27789080323081282493983758088796513623535136098083162936641360649997602880255"", ""21833015165132403203255933703015938258732610154005228381405997235814455953833""]",NBA
1838944,Ayo Dosunmu: Points O/U 15.5,NBA,1737.84718,,2026-04-03T02:15:25.13725Z,2026-04-03T23:00:00Z,"[""115474971820811988867939237620345114744519602828336620375312887681612180731584"", ""32303214146342059763497389698002939781042697745721337706243540021059677214575""]",NBA
1733042,Will FC Barcelona win on 2026-04-08?,Soccer,2232045.8312630164,,2026-03-26T18:04:19.023838Z,2026-04-08T19:00:00Z,"[""45252071687729471986214161880528958154317107163556387725402607783481998019505"", ""20531665169182637339713772015317692317559535468151824262876403282952309568087""]",Soccer
1752779,Will West Ham United FC vs. Wolverhampton Wanderers FC end in a draw?,Soccer,159148.49318700001,,2026-03-28T04:06:14.911177Z,2026-04-10T19:00:00Z,"[""12696317432776810825862685786482743680248884020136092032696126238200837368681"", ""87019652581890690665961510938826803720023835513167268745167052994869720617039""]",Soccer
